iter	TotalF1	MultiClass
101	0.8870739301	0.5752864656
102	0.8869037801	0.5727671596
103	0.8870302328	0.5710779796
104	0.8870723825	0.568861152
105	0.886777322	0.5658059256
106	0.886691493	0.5627561791
107	0.8866102231	0.5611094
108	0.8866930137	0.5573084954
109	0.8866930137	0.5543839929
110	0.886608703	0.5524845879
111	0.886608703	0.5495083234
112	0.8866071873	0.5463286143
113	0.8867757964	0.5431928644
114	0.8866478267	0.5411294543
115	0.8866493405	0.5385925195
116	0.8872378738	0.5362789349
117	0.8871114449	0.5346706387
118	0.886991172	0.5333102529
119	0.8872019427	0.5306117363
120	0.8873674143	0.5265089292
121	0.8872800157	0.5236013417
122	0.8877014021	0.5212609348
123	0.8878278068	0.5196638625
124	0.8877856725	0.5176937711
125	0.8879557977	0.5152503495
126	0.8876202762	0.5127412434
127	0.8876608397	0.5103028157
128	0.8879089098	0.5081926162
129	0.8878683589	0.5060412697
130	0.8879494596	0.5041357449
131	0.8878262276	0.5024773685
132	0.8881211347	0.5000352573
133	0.8881600768	0.4977437244
134	0.8881179545	0.4959416503
135	0.8880368783	0.4940438706
136	0.8878293905	0.4910237847
137	0.888035291	0.4882607207
138	0.8882053888	0.4849765316
139	0.888163262	0.4834598693
140	0.8881211347	0.4805733008
141	0.888163262	0.4789863025
142	0.8884549175	0.4768655639
143	0.8884581378	0.4743491456
144	0.8882085968	0.4731615573
145	0.8989474335	0.4707853249
146	0.8991996364	0.4688204828
147	0.8885018801	0.4666960516
148	0.8887076165	0.465137094
149	0.888710867	0.4631852234
150	0.8888323326	0.461128442
151	0.8886655014	0.4602282423
152	0.8991573999	0.4583427618
153	0.8991139326	0.4564398999
154	0.8991984012	0.453823322
155	0.8992804008	0.4521008024
156	0.8992381729	0.448882559
157	0.8992791741	0.4467624362
158	0.8994902926	0.4453810107
159	0.9101110858	0.4436265489
160	0.9099841271	0.4414802118
161	0.9097725172	0.4384960676
162	0.9103226717	0.4357960672
163	0.9102803557	0.4325085768
164	0.9100272625	0.4313712526
165	0.9103218438	0.4300770951
166	0.9104073019	0.4276088025
167	0.9104064691	0.4253489259
168	0.9103243412	0.4234185133
169	0.9102388667	0.4211465792
170	0.9101135601	0.4194718136
171	0.9102388667	0.4184235667
172	0.9104081393	0.4176081535
173	0.9210479824	0.4151723612
174	0.9210479824	0.4136074944
175	0.9210907629	0.4125001995
176	0.9210907629	0.4108330955
177	0.9211747739	0.4092103853
178	0.9211747739	0.4071503217
179	0.9215554507	0.4040901453
180	0.9216410221	0.4029893617
181	0.9214299086	0.4015158818
182	0.9213871134	0.4006007455
183	0.9214295021	0.3981319681
184	0.9216414361	0.3971813215
185	0.9321055105	0.3950087752
186	0.9319356987	0.3934582174
187	0.9318507889	0.3922236994
188	0.9318083331	0.3907328878
189	0.9319356987	0.3896207212
190	0.9319780648	0.3880466008
191	0.9319781526	0.3869803224
192	0.9320630585	0.3860761082
193	0.9320207908	0.3839101783
194	0.9320632386	0.382034979
195	0.9321904931	0.3801597544
196	0.9320631462	0.3796887456
197	0.9320208903	0.3786253882
198	0.9320633357	0.3766862203
199	0.9321906682	0.3755766546
200	0.932233111	0.374264751
201	0.9323179949	0.3730470241
202	0.9323179949	0.3714116387
203	0.9324030461	0.3699350995
204	0.9325728643	0.3686817244
205	0.9324880025	0.3670505344
206	0.9324880025	0.3663003181
207	0.9324031381	0.365556227
208	0.9325728643	0.3641279622
209	0.932785008	0.3632359911
210	0.9326152943	0.361920355
211	0.9327001524	0.3605764601
212	0.9327425805	0.3591141191
213	0.9325728643	0.35784739
214	0.9329122868	0.3558857176
215	0.9329547772	0.3553118985
216	0.9328275075	0.3545788485
217	0.9328699314	0.3534573467
218	0.9330396859	0.3523259131
219	0.933124522	0.35101203
220	0.9329972669	0.3494988601
221	0.933124522	0.3484565265
222	0.9332094159	0.3463706891
223	0.9333791216	0.3446212705
224	0.9333366546	0.3440096165
225	0.9334215302	0.3430836335
226	0.9333791216	0.3425383604
227	0.9333791817	0.3409358653
228	0.9333791216	0.3397078263
229	0.9333791216	0.3378006102
230	0.9334215879	0.336614326
231	0.9333791216	0.3356330597
232	0.9333367124	0.3340134634
233	0.9334639383	0.3332311495
234	0.9333791216	0.3322072729
235	0.9333791216	0.3307496077
236	0.9334217175	0.3294643599
237	0.9334641183	0.3288012281
238	0.9335065184	0.3277045454
239	0.9334217175	0.3270856447
240	0.9334217175	0.3265713657
241	0.9334216503	0.3256983866
242	0.9335488581	0.3249563462
243	0.9335489826	0.3238946421
244	0.9336340616	0.3219438128
245	0.9336341451	0.3212125624
246	0.9335916753	0.3199456209
247	0.9335915178	0.3196053947
248	0.9440715096	0.318362224
249	0.9440715096	0.3178480767
250	0.9440715096	0.3168128908
251	0.9442412975	0.3159075466
252	0.9441564049	0.3153572656
253	0.9442412975	0.3140537615
254	0.944284336	0.3130636738
255	0.9442407069	0.3126900567
256	0.9443261877	0.3120080519
257	0.9443250208	0.310556159
258	0.9444948128	0.3099551876
259	0.9445384021	0.308856325
260	0.9445825865	0.3078243638
261	0.9445395643	0.3068621873
262	0.9445820005	0.3059784504
263	0.944625608	0.3053951972
264	0.9446262012	0.3048274762
265	0.9446262012	0.3038575993
266	0.9445837728	0.3025549649
267	0.9445831772	0.3017163585
268	0.944625608	0.3004860789
269	0.944625608	0.3000534035
270	0.944625608	0.2995045738
271	0.9445831772	0.2988409713
272	0.9444983137	0.2979650807
273	0.944455881	0.2968955418
274	0.9445837728	0.29631306
275	0.9445837728	0.2959069486
276	0.9446262012	0.2951591449
277	0.944668629	0.2946597308
278	0.9447110562	0.2931512101
279	0.9447534828	0.2919209988
280	0.9447534828	0.2907605311
281	0.9449231828	0.2901314955
282	0.9447959087	0.2887480844
283	0.9448807587	0.2881526925
284	0.944838334	0.2871634159
285	0.9449656063	0.2861723468
286	0.9449656063	0.2853074464
287	0.945092873	0.2844511669
288	0.945092873	0.2834202046
289	0.9451771524	0.2829562095
290	0.945092873	0.2823561139
291	0.9451782813	0.2813054876
292	0.9451777144	0.2807203593
293	0.9452206987	0.2795963259
294	0.9451358633	0.2793493339
295	0.9452631155	0.2789468223
296	0.9453485093	0.278483841
297	0.9453485093	0.2780147515
298	0.9453485093	0.2776640637
299	0.9453909219	0.2770167028
300	0.9453060962	0.2765611018
301	0.9454751903	0.275299678
302	0.9455600161	0.274428048
303	0.9454327766	0.2739142652
304	0.9454327766	0.2735289371
305	0.9455176035	0.2732600078
306	0.9456453847	0.2717392736
307	0.9456453847	0.2712954447
308	0.945687793	0.2704271009
309	0.9457302008	0.2695326195
310	0.9457302008	0.2686664652
311	0.9456872501	0.2683374104
312	0.9457302008	0.2672358033
313	0.9456453847	0.2667209278
314	0.9456453847	0.2664870769
315	0.9456453847	0.2662407028
316	0.9456453847	0.2651674688
317	0.9456453847	0.2644068758
318	0.9456883407	0.2640036841
319	0.9456453847	0.2635752642
320	0.9456453847	0.2627847525
321	0.9457307461	0.2620884381
322	0.9457731508	0.2614025377
323	0.9457731508	0.2605417916
324	0.945815555	0.2594382173
325	0.945815555	0.2587537526
326	0.9459003615	0.2578151934
327	0.9459851657	0.256906584
328	0.9459851657	0.2563471226
329	0.9459851657	0.2553406033
330	0.9460275669	0.254451702
331	0.9460699675	0.2541371412
332	0.9459851657	0.2533138767
333	0.9460275669	0.2525043558
334	0.9460699675	0.2516365009
335	0.9460275669	0.2509643267
336	0.9460699675	0.2506114655
337	0.9460699675	0.25021013
338	0.9461123675	0.249815582
339	0.9461547669	0.2492453308
340	0.9461971658	0.249008449
341	0.946239564	0.2483892641
342	0.946239564	0.2476238805
343	0.9463243588	0.247336051
344	0.9464939413	0.2469230828
345	0.9465787291	0.2461533514
346	0.9467059065	0.2451041165
347	0.9467482978	0.2446657139
348	0.9467059065	0.2439589771
349	0.9466635146	0.2429767478
350	0.9467064012	0.2424243634
351	0.9466635146	0.2421316813
352	0.9467487901	0.2414414883
353	0.9468759533	0.2410187298
354	0.9469173794	0.2405175581
355	0.9470454964	0.2398204457
356	0.9470878807	0.2393645405
357	0.9472150303	0.2386415454
358	0.9472574124	0.2381457615
359	0.9472574124	0.236835517
360	0.9472150303	0.2360679568
361	0.9472574124	0.2350589528
362	0.9471726477	0.2346834854
363	0.9471312202	0.2338543549
364	0.947385482	0.2333470037
365	0.9473845553	0.2327906049
366	0.9474693144	0.2323331193
367	0.9475968978	0.2318389914
368	0.9476816465	0.2314365476
369	0.9476397237	0.2303972979
370	0.9476397237	0.2300295693
371	0.9477240201	0.2293887865
372	0.9476379477	0.2287910443
373	0.9475955658	0.2285957835
374	0.947638826	0.228137658
375	0.9478087655	0.2277891808
376	0.9477249178	0.2269840463
377	0.9478096535	0.2264169312
378	0.9478096535	0.2263503264
379	0.9477672859	0.2260820354
380	0.9478096535	0.2254793523
381	0.9478948335	0.2249922897
382	0.9478515766	0.2244837633
383	0.9478520206	0.2240373344
384	0.9478511374	0.2233005209
385	0.9479358796	0.2229470475
386	0.9479791185	0.222091806
387	0.9480638477	0.2213410046
388	0.9480638477	0.2210615628
389	0.9481066458	0.220098422
390	0.9481062115	0.2196605702
391	0.9482337266	0.2192871284
392	0.9481062115	0.2187194149
393	0.9481485747	0.2181775003
394	0.9481485747	0.2178658145
395	0.9481913669	0.217011336
396	0.9482760858	0.2160595751
397	0.9484035823	0.2156994618
398	0.9484878737	0.2148924091
399	0.9485306446	0.2144066261
400	0.9486577021	0.2137824051
401	0.9486153501	0.2131651349
402	0.9487004635	0.2127985551
403	0.9486577021	0.2125274974
404	0.9486572945	0.2119422503
405	0.9487843545	0.211517806
406	0.9486577021	0.2112523988
407	0.9488271047	0.2109035236
408	0.948869454	0.210379572
409	0.9489545465	0.2101058066
410	0.9490815809	0.2095147035
411	0.9490815809	0.2087867696
412	0.9491239247	0.208442626
413	0.9491243152	0.2080843823
414	0.9490819739	0.2075622828
415	0.9490815809	0.2073565742
416	0.9490811928	0.2069648603
417	0.9490811928	0.2065219453
418	0.9490811928	0.2062263268
419	0.9490811928	0.205885863
420	0.9490811928	0.205673353
421	0.9490811928	0.2050311442
422	0.9492929186	0.2045241306
423	0.9493360141	0.2037261167
424	0.9492936754	0.2035954669
425	0.9492936754	0.2034331892
426	0.9492936754	0.2031146939
427	0.9494630273	0.2025356225
428	0.9494630273	0.201699513
429	0.9494206901	0.2013384497
430	0.9494634032	0.2008580822
431	0.9494214517	0.2005848933
432	0.949463784	0.2001933453
433	0.9496331082	0.199663021
434	0.9495484471	0.199036218
435	0.9495061158	0.1987291768
436	0.9495488279	0.1982192672
437	0.9495484471	0.1981114799
438	0.9496331082	0.197955588
439	0.9495907779	0.1972377706
440	0.9498870794	0.1969881679
441	0.950056735	0.1964515377
442	0.9500140582	0.1961904813
443	0.9500570913	0.1958890444
444	0.9500994112	0.1952516867
445	0.9500994112	0.194957144
446	0.9500994112	0.1943944623
447	0.9501417306	0.1939644182
448	0.9501837005	0.1935891262
449	0.9501837005	0.1930206089
450	0.9502260213	0.1927085751
451	0.9501833563	0.1922181689
452	0.9502680024	0.1916378427
453	0.9502680024	0.1914859133
454	0.9606586697	0.1909099458
455	0.9607010288	0.1905434892
456	0.9502256796	0.1903393851
457	0.9607443105	0.1899440144
458	0.9607866662	0.1897038917
459	0.9607866662	0.1892929268
460	0.9607875919	0.1888767103
461	0.9607875919	0.1888111557
462	0.9608722969	0.188479678
463	0.9608732227	0.187780945
464	0.9608308729	0.1872455701
465	0.9608299446	0.187036126
466	0.9608732227	0.1863919264
467	0.9609146486	0.1859034156
468	0.9609146486	0.1857880576
469	0.9609146486	0.1855039304
470	0.9609569997	0.1851526766
471	0.9610002689	0.184657837
472	0.9609569997	0.1841223046
473	0.9609569997	0.1838687833
474	0.9610002689	0.183537152
475	0.9611263992	0.182837867
476	0.9611263992	0.1825601831
477	0.9611696567	0.1821292886
478	0.9612129138	0.1818016846
479	0.9612129138	0.1815711833
480	0.9611696567	0.181343651
481	0.9612120024	0.1808473388
482	0.9611705706	0.1805927201
483	0.9612129138	0.1804607774
484	0.9611696567	0.1799329665
485	0.9612543475	0.1796733026
486	0.9612975987	0.1793529325
487	0.9612552565	0.1790997218
488	0.9612561705	0.1788066497
489	0.9612561705	0.1784482074
490	0.9614255266	0.1781014448
491	0.9614255266	0.1776844625
492	0.9614678643	0.1773123604
493	0.9615102015	0.1765806541
494	0.9615525383	0.1762568322
495	0.9614678643	0.1760224131
496	0.9614678643	0.1756977037
497	0.9615525383	0.1753475167
498	0.9616804401	0.1748304904
499	0.9616381074	0.1746873824
