iter	MultiClass
246	0.2261710998
247	0.225120858
248	0.2237876387
249	0.223148781
250	0.2222957037
251	0.2215154004
252	0.220692174
253	0.2199034346
254	0.2190767374
255	0.2183108225
256	0.2175503089
257	0.216739094
258	0.2156425026
259	0.2146611841
260	0.213796371
261	0.2126833832
262	0.211626331
263	0.2110590432
264	0.2102804001
265	0.2094551368
266	0.2087068714
267	0.2081922357
268	0.2076693608
269	0.2070990352
270	0.2064868514
271	0.2058897661
272	0.2051728305
273	0.2042593169
274	0.2034407162
275	0.2026623823
276	0.2022163161
277	0.2016710751
278	0.2010770268
279	0.2002665379
280	0.1994845354
281	0.1988216808
282	0.1978073351
283	0.1973118249
284	0.1968056959
285	0.1961068702
286	0.1953039765
287	0.1945066738
288	0.193749785
289	0.1929945031
290	0.1922447718
291	0.1917256391
292	0.190902889
293	0.1902518301
294	0.1894924391
295	0.1887237075
296	0.188084265
297	0.1874871846
298	0.1868164227
299	0.1864409159
300	0.1855481273
301	0.1851012425
302	0.1841928351
303	0.183549867
304	0.1828531673
305	0.182299537
306	0.1815177743
307	0.180841009
308	0.1802057705
309	0.1798547738
310	0.1793745637
311	0.178568755
312	0.1781033605
313	0.1776513023
314	0.1773265176
315	0.1767226561
316	0.1760125876
317	0.1753845032
318	0.1750090044
319	0.174288196
320	0.1737148384
321	0.1733415434
322	0.1727409574
323	0.1723120862
324	0.1718340574
325	0.1711246846
326	0.1705101596
327	0.1698470677
328	0.1691886651
329	0.1685948776
330	0.1681168136
331	0.1677308382
332	0.1671968297
333	0.1666231408
334	0.1658917064
335	0.16552516
336	0.1649104426
337	0.1645587161
338	0.1641177818
339	0.1636232931
340	0.1629419522
341	0.1625224153
342	0.1618379091
343	0.1612865369
344	0.1607435719
345	0.1599607716
346	0.159497995
347	0.1587794475
348	0.1583983973
349	0.1578576712
350	0.1571354159
351	0.1565667917
352	0.1558929911
353	0.1554706868
354	0.155015181
355	0.1544738397
356	0.1538922029
357	0.1532690574
358	0.1525962144
359	0.1522435367
360	0.1517617472
361	0.1512709428
362	0.1508880793
363	0.1505547432
364	0.1500236695
365	0.1497886661
366	0.1492926677
367	0.1490602185
368	0.1485567494
369	0.148090267
370	0.147737659
371	0.1473125284
372	0.1470522325
373	0.1468073772
374	0.1465125819
375	0.1460564803
376	0.1455718646
377	0.1452403368
378	0.1449924486
379	0.1444557934
380	0.1439423354
381	0.1436208865
382	0.1433680441
383	0.1431377859
384	0.142773035
385	0.142257121
386	0.1417909755
387	0.1414886634
388	0.1409120711
389	0.1405576136
390	0.1401632575
391	0.1399345343
392	0.1396333439
393	0.1391753439
394	0.1386763084
395	0.1383947921
396	0.137970317
397	0.1376181972
398	0.1374678351
399	0.1371780373
400	0.1367724216
401	0.1363543261
402	0.1359235582
403	0.1358034158
404	0.1354069447
405	0.1350269052
406	0.1347420852
407	0.1343714289
408	0.1339983721
409	0.1336313615
410	0.1332288802
411	0.1327753937
412	0.1324254671
413	0.1321233309
414	0.1316160298
415	0.1312492243
416	0.1309712842
417	0.1304361494
418	0.1300747093
419	0.1297175279
420	0.1295937907
421	0.1293321136
422	0.1287792416
423	0.1283054471
424	0.1280613697
425	0.1277812517
426	0.1273467624
427	0.1268905969
428	0.1267841756
429	0.1265863364
430	0.1261946283
431	0.1257695873
432	0.1252037915
433	0.124911952
434	0.1245875853
435	0.1244023243
436	0.1241463892
437	0.1238676761
438	0.1236192359
439	0.1232454215
440	0.1230632594
441	0.1227859425
442	0.1224604353
443	0.1222751274
444	0.1221038415
445	0.1218894947
446	0.1215878539
447	0.1212342218
448	0.1209013165
449	0.1206419571
450	0.1204260621
451	0.1200182244
452	0.1197804256
453	0.1192331598
454	0.1188499126
455	0.118701855
456	0.1184434436
457	0.1182406105
458	0.1179345539
459	0.1176267851
460	0.1172649604
461	0.1170412885
462	0.1167051986
463	0.1163935601
464	0.1161163014
465	0.1157971616
466	0.1156570067
467	0.1152236655
468	0.1148613533
469	0.114675618
470	0.1145369547
471	0.1140877133
472	0.1138945718
473	0.1136846147
474	0.1134909221
475	0.1131536927
476	0.1127657889
477	0.1126667397
478	0.1123850772
479	0.112127584
480	0.1117827051
481	0.1115757559
482	0.1113133367
483	0.1110051549
484	0.1106788787
485	0.1103797843
486	0.1100875509
487	0.1098580262
488	0.1096094582
489	0.1093379556
490	0.1090861995
491	0.1088685944
492	0.1087059945
493	0.1086078463
494	0.1084959271
495	0.1083353281
496	0.1081231106
497	0.107870438
498	0.1075989632
499	0.1073331078
